199.5	3255.461622371915
206.5	3050.8380716665542
213.5	2898.705472351924
220.5	2805.5010320111437
227.5	2740.213443244232
234.5	2701.343604290239
241.5	2650.8555969830836
248.5	2589.1025864697385
255.5	2529.0390420189556
262.5	2464.50390375279
269.5	2390.6999045353514
276.5	2313.715004332069
283.5	2244.4266497431113
290.5	2172.259769813252
297.5	2087.785305069693
304.5	2016.0077422922413
311.5	1924.2713921557145
318.5	1853.7959433869714
325.5	1777.7403792271427
332.5	1700.7577079548296
339.5	1627.189384778229
346.5	1553.1458124203518
353.5	1489.4250013960896
360.5	1421.650255017978
367.5	1360.1887972589557
374.5	1301.3521925210182
381.5	1239.278720579916
388.5	1188.434914075102
395.5	1131.7475071481908
402.5	1085.2884579012052
