# dataset name                analysis name               signal region                                               sig95(exp)     sig95(obs)        ||    efficiency     stat           
defaultset                    CMS_EXO_17_030                SR2: 630to640                                               424.6596374    352.6948880     ||    0.0000050      1.7878610      
defaultset                    CMS_EXO_17_030                SR2: 640to650                                               -1             -1              ||    0.0000000      0.0000000      
defaultset                    CMS_EXO_17_030                SR2: 650to660                                               -1             -1              ||    0.0000000      0.0000000      
defaultset                    CMS_EXO_17_030                SR2: 660to670                                               -1             -1              ||    0.0000000      0.0000000      
defaultset                    CMS_EXO_17_030                SR2: 670to680                                               -1             -1              ||    0.0000000      0.0000000      
defaultset                    CMS_EXO_17_030                SR2: 680to690                                               -1             -1              ||    0.0000000      0.0000000      
defaultset                    CMS_EXO_17_030                SR2: 690to700                                               -1             -1              ||    0.0000000      0.0000000      
defaultset                    CMS_EXO_17_030                SR2: 700to710                                               -1             -1              ||    0.0000000      0.0000000      
defaultset                    CMS_EXO_17_030                SR3: 1020to1050                                             165.1878979    185.7566971     ||    0.0000350      4.7301639      
defaultset                    CMS_EXO_17_030                SR3: 1050to1080                                             151.4881208    158.7971494     ||    0.0000350      4.7301639      
defaultset                    CMS_EXO_17_030                SR3: 1080to1110                                             76.6594492     76.5330656      ||    0.0000700      6.6893460      
defaultset                    CMS_EXO_17_030                SR3: 1110to1140                                             55.0011383     35.5930142      ||    0.0000750      6.9241134      
defaultset                    CMS_EXO_17_030                SR3: 1140to1170                                             37.2453239     30.5061573      ||    0.0001000      7.9951775      
defaultset                    CMS_EXO_17_030                SR3: 1170to1200                                             46.3912952     48.4261250      ||    0.0000800      7.1511755      
defaultset                    CMS_EXO_17_030                SR3: 690to720                                               -1             -1              ||    0.0000000      0.0000000      
defaultset                    CMS_EXO_17_030                SR3: 720to750                                               531.9630715    718.3348955     ||    0.0000050      1.7878610      
defaultset                    CMS_EXO_17_030                SR3: 750to780                                               -1             -1              ||    0.0000000      0.0000000      
defaultset                    CMS_EXO_17_030                SR3: 780to810                                               -1             -1              ||    0.0000000      0.0000000      
defaultset                    CMS_EXO_17_030                SR3: 810to840                                               470.3455625    430.5415089     ||    0.0000050      1.7878610      
defaultset                    CMS_EXO_17_030                SR3: 840to870                                               -1             -1              ||    0.0000000      0.0000000      
defaultset                    CMS_EXO_17_030                SR3: 870to900                                               -1             -1              ||    0.0000000      0.0000000      
defaultset                    CMS_EXO_17_030                SR3: 900to930                                               147.6275117    121.1005938     ||    0.0000100      2.5284109      
defaultset                    CMS_EXO_17_030                SR3: 930to960                                               146.1774248    145.7264094     ||    0.0000100      2.5284109      
defaultset                    CMS_EXO_17_030                SR3: 960to990                                               145.4126842    136.5271783     ||    0.0000100      2.5284109      
defaultset                    CMS_EXO_17_030                SR3: 990to1020                                              42.4367167     41.8557847      ||    0.0000300      4.3792920      
defaultset                    CMS_EXO_17_030                SR4: 1200to1240                                             4.7375225      6.6548863       ||    0.0003000      13.8466676     
defaultset                    CMS_EXO_17_030                SR4: 1240to1280                                             4.7735297      5.1294199       ||    0.0003450      14.8485662     
defaultset                    CMS_EXO_17_030                SR4: 1280to1320                                             3.3614371      3.6905321       ||    0.0004200      16.3826147     
defaultset                    CMS_EXO_17_030                SR4: 1320to1360                                             1.8523623      1.1409602       ||    0.0006400      20.2209154     
defaultset                    CMS_EXO_17_030                SR4: 1360to1400                                             1.5277536      1.2140080       ||    0.0006250      19.9826957     
defaultset                    CMS_EXO_17_030                SR4: 1400to1440                                             0.9919098      0.7958992       ||    0.0008750      23.6408869     
defaultset                    CMS_EXO_17_030                SR4: 1440to1480                                             1.1680477      1.0937090       ||    0.0008000      22.6058593     
defaultset                    CMS_EXO_17_030                SR4: 1480to1520                                             0.9469955      0.9773337       ||    0.0008150      22.8166345     
defaultset                    CMS_EXO_17_030                SR4: 1520to1560                                             0.7381950      0.5640243       ||    0.0009100      24.1086481     
defaultset                    CMS_EXO_17_030                SR4: 1560to1600                                             1.1786259      1.6662044       ||    0.0006200      19.9026539     
defaultset                    CMS_EXO_17_030                SR4: 1600to1640                                             1.4332723      1.2961007       ||    0.0004000      15.9879579     
defaultset                    CMS_EXO_17_030                SR4: 1640to1680                                             2.7736510      3.9541661       ||    0.0002000      11.3063230     
defaultset                    CMS_EXO_17_030                SR4: 1680to1720                                             5.8397305      5.6164849       ||    0.0000850      7.3712443      
defaultset                    CMS_EXO_17_030                SR4: 1720to1760                                             10.4487869     6.4863667       ||    0.0000400      5.0567465      
defaultset                    CMS_EXO_17_030                SR4: 1760to1800                                             10.9323853     10.9480401      ||    0.0000400      5.0567465      
defaultset                    CMS_EXO_17_030                SR4: 1800to1840                                             12.8233520     11.4111356      ||    0.0000300      4.3792920      
defaultset                    CMS_EXO_17_030                SR4: 1840to1880                                             33.9099441     36.3257820      ||    0.0000100      2.5284109      
defaultset                    CMS_EXO_17_030                SR4: 1880to1920                                             30.7307361     28.3042319      ||    0.0000100      2.5284109      
defaultset                    CMS_EXO_17_030                SR4: 1920to1960                                             18.8659428     20.5760946      ||    0.0000150      3.0966505      
defaultset                    CMS_EXO_17_030                SR4: 1960to2000                                             47.4286051     47.3883371      ||    0.0000050      1.7878610      

